Designator,Mid X,Mid Y,Rotation,Layer
SW1,38.1,-52.3875,0.0,top
SW10,233.3625,-52.3875,0.0,top
SW11,252.4125,-52.3875,0.0,top
SW12,271.4625,-52.3875,0.0,top
SW13,290.5125,-52.3875,0.0,top
SW14,309.5625,-52.3875,0.0,top
SW15,333.375,-52.3875,0.0,top
SW16,357.1875,-52.3875,0.0,top
SW17,40.48125,-71.4375,0.0,top
SW18,66.675,-71.4375,0.0,top
SW19,85.725,-71.4375,0.0,top
SW2,61.9125,-52.3875,0.0,top
SW20,104.775,-71.4375,0.0,top
SW21,123.825,-71.4375,0.0,top
SW22,142.875,-71.4375,0.0,top
SW23,171.45,-71.4375,0.0,top
SW24,190.5,-71.4375,0.0,top
SW25,209.55,-71.4375,0.0,top
SW26,238.125,-71.4375,0.0,top
SW27,257.175,-71.4375,0.0,top
SW28,276.225,-71.4375,0.0,top
SW29,295.275,-71.4375,0.0,top
SW3,80.9625,-52.3875,0.0,top
SW30,314.325,-71.4375,0.0,top
SW31,345.28125,-71.4375,0.0,top
SW32,42.8625,-90.4875,0.0,top
SW33,71.4375,-90.4875,0.0,top
SW34,90.4875,-90.4875,0.0,top
SW35,109.5375,-90.4875,0.0,top
SW36,128.5875,-90.4875,0.0,top
SW37,147.6375,-90.4875,0.0,top
SW38,176.2125,-90.4875,0.0,top
SW39,195.2625,-90.4875,0.0,top
SW4,100.0125,-52.3875,0.0,top
SW40,214.3125,-90.4875,0.0,top
SW41,242.8875,-90.4875,0.0,top
SW42,261.9375,-90.4875,0.0,top
SW43,280.9875,-90.4875,0.0,top
SW44,300.0375,-90.4875,0.0,top
SW45,319.0875,-90.4875,0.0,top
SW46,340.51875,-90.4875,0.0,top
SW47,366.7125,-95.25,0.0,top
SW48,38.1,-109.5375,0.0,top
SW49,61.9125,-109.5375,0.0,top
SW5,119.0625,-52.3875,0.0,top
SW50,83.34375,-109.5375,0.0,top
SW51,107.15625,-109.5375,0.0,top
SW53,190.5,-114.3,0.0,top
SW55,273.84375,-109.5375,0.0,top
SW56,297.65625,-109.5375,0.0,top
SW57,321.46875,-109.5375,0.0,top
SW58,347.6625,-114.3,0.0,top
SW59,366.7125,-114.3,0.0,top
SW6,138.1125,-52.3875,0.0,top
SW60,385.7625,-114.3,0.0,top
SW7,166.6875,-52.3875,0.0,top
SW8,185.7375,-52.3875,0.0,top
SW9,204.7875,-52.3875,0.0,top
